Drug1,Drug2,Prob,Source,Method
DB00197,DB01213,0.9990000000000001,CRD,LapRLS
DB00188,DB01213,0.8278,CRD,LapRLS
DB00197,DB06728,0.82,CRD,LapRLS
DB00231,DB01213,0.7339,CRD,LapRLS
DB00213,DB06728,0.7295,CRD,LapRLS
DB00196,DB06728,0.7266,CRD,LapRLS
DB00239,DB01213,0.6974,CRD,LapRLS
DB00564,DB01213,0.6959,CRD,LapRLS
DB00199,DB01213,0.6772,CRD,LapRLS
DB00278,DB01213,0.6651,CRD,LapRLS
DB00705,DB01213,0.6618,CRD,LapRLS
DB00296,DB01213,0.6354,CRD,LapRLS
DB00213,DB01213,0.6343,CRD,LapRLS
DB00297,DB06728,0.6263,CRD,LapRLS
DB00285,DB06728,0.6233,CRD,LapRLS
DB00252,DB01213,0.6224,CRD,LapRLS
DB00624,DB01213,0.6181,CRD,LapRLS
DB00231,DB06728,0.6047,CRD,LapRLS
DB00357,DB01213,0.5973,CRD,LapRLS
DB00678,DB01213,0.5941,CRD,LapRLS
DB00678,DB06728,0.5928,CRD,LapRLS
DB00199,DB06728,0.5925,CRD,LapRLS
DB00196,DB01213,0.5918,CRD,LapRLS
DB00213,DB06689,0.5824,CRD,LapRLS
DB00758,DB06728,0.5709,CRD,LapRLS
DB00136,DB01213,0.5682,CRD,LapRLS
DB00220,DB06689,0.5682,CRD,LapRLS
DB00313,DB06728,0.5677,CRD,LapRLS
DB00180,DB01213,0.5677,CRD,LapRLS
DB00297,DB01213,0.5595,CRD,LapRLS
DB00635,DB01213,0.5594,CRD,LapRLS
DB00247,DB01213,0.5588,CRD,LapRLS
DB00539,DB01213,0.5565,CRD,LapRLS
DB00280,DB01213,0.5521,CRD,LapRLS
DB00546,DB01213,0.551,CRD,LapRLS
DB00564,DB06728,0.5505,CRD,LapRLS
DB00783,DB01213,0.5497,CRD,LapRLS
DB00252,DB06728,0.5486,CRD,LapRLS
DB00239,DB06728,0.546,CRD,LapRLS
DB00199,DB03756,0.5442,CRD,LapRLS
DB00188,DB06728,0.5434,CRD,LapRLS
DB00533,DB01213,0.5397,CRD,LapRLS
DB00239,DB03756,0.5333,CRD,LapRLS
DB00197,DB06689,0.5331,CRD,LapRLS
DB00518,DB01213,0.5278,CRD,LapRLS
DB00220,DB06728,0.5267,CRD,LapRLS
DB00220,DB01213,0.5229,CRD,LapRLS
DB00296,DB06728,0.5224,CRD,LapRLS
DB00745,DB01213,0.5194,CRD,LapRLS
DB00169,DB01213,0.5166,CRD,LapRLS
DB00668,DB01213,0.51,CRD,LapRLS
DB00273,DB01213,0.505,CRD,LapRLS
DB00091,DB01213,0.5045,CRD,LapRLS
DB00169,DB06689,0.5019,CRD,LapRLS
DB00309,DB06728,0.4997,CRD,LapRLS
DB00745,DB06728,0.4976,CRD,LapRLS
DB00289,DB01213,0.4976,CRD,LapRLS
DB00207,DB03756,0.4973,CRD,LapRLS
DB00199,DB06689,0.4963,CRD,LapRLS
DB00607,DB01213,0.4952,CRD,LapRLS
DB00317,DB06728,0.495,CRD,LapRLS
DB00499,DB01213,0.4946,CRD,LapRLS
DB00324,DB01213,0.4918,CRD,LapRLS
DB00357,DB06728,0.4914,CRD,LapRLS
DB00307,DB01213,0.4913,CRD,LapRLS
DB00625,DB01213,0.4901,CRD,LapRLS
DB00270,DB01213,0.488,CRD,LapRLS
DB00285,DB06689,0.4859,CRD,LapRLS
DB00254,DB01213,0.4839,CRD,LapRLS
DB00673,DB01213,0.4821,CRD,LapRLS
DB00231,DB06689,0.4817,CRD,LapRLS
DB00252,DB06689,0.4806,CRD,LapRLS
DB00263,DB01213,0.4793,CRD,LapRLS
DB00278,DB06728,0.4783,CRD,LapRLS
DB00481,DB06728,0.4774,CRD,LapRLS
DB00224,DB01213,0.4768,CRD,LapRLS
DB00207,DB06728,0.4766,CRD,LapRLS
DB00390,DB01213,0.4752,CRD,LapRLS
DB00280,DB06728,0.4749,CRD,LapRLS
DB00357,DB06689,0.4743,CRD,LapRLS
DB00273,DB06728,0.4732,CRD,LapRLS
DB00280,DB06689,0.4685,CRD,LapRLS
DB00851,DB04557,0.4675,CRD,LapRLS
DB00738,DB01213,0.4661,CRD,LapRLS
DB00136,DB06728,0.4655,CRD,LapRLS
DB00401,DB01213,0.4607,CRD,LapRLS
DB00604,DB06728,0.4604,CRD,LapRLS
DB00588,DB01213,0.4601,CRD,LapRLS
DB00294,DB06728,0.46,CRD,LapRLS
DB00234,DB01213,0.4596,CRD,LapRLS
DB00696,DB06728,0.4585,CRD,LapRLS
DB00582,DB01213,0.4585,CRD,LapRLS
DB00247,DB06728,0.4584,CRD,LapRLS
DB00197,DB03128,0.45799999999999996,CRD,LapRLS
DB00254,DB06728,0.4573,CRD,LapRLS
DB00420,DB01213,0.4561,CRD,LapRLS
DB00619,DB01213,0.4551,CRD,LapRLS
DB00582,DB06689,0.4545,CRD,LapRLS
DB00263,DB06728,0.4543,CRD,LapRLS
DB00294,DB01213,0.4517,CRD,LapRLS
DB00248,DB01213,0.4497,CRD,LapRLS
DB00541,DB01213,0.4497,CRD,LapRLS
DB00745,DB06689,0.4486,CRD,LapRLS
DB00736,DB01213,0.447,CRD,LapRLS
DB00758,DB06689,0.4452,CRD,LapRLS
DB00153,DB06728,0.4448,CRD,LapRLS
DB00268,DB01213,0.4448,CRD,LapRLS
DB00307,DB06728,0.4447,CRD,LapRLS
DB00537,DB01213,0.4446,CRD,LapRLS
DB00624,DB06689,0.4444,CRD,LapRLS
DB00564,DB06689,0.4428,CRD,LapRLS
DB00175,DB01213,0.4398,CRD,LapRLS
DB00281,DB06689,0.4385,CRD,LapRLS
DB00758,DB01213,0.4382,CRD,LapRLS
DB00204,DB06728,0.4377,CRD,LapRLS
DB00641,DB06728,0.4376,CRD,LapRLS
DB00559,DB01213,0.4366,CRD,LapRLS
DB00481,DB01213,0.4364,CRD,LapRLS
DB00682,DB06728,0.4337,CRD,LapRLS
DB00398,DB06689,0.4333,CRD,LapRLS
DB00404,DB01213,0.433,CRD,LapRLS
DB00300,DB01213,0.4329,CRD,LapRLS
DB00246,DB01213,0.4312,CRD,LapRLS
DB00285,DB01213,0.4311,CRD,LapRLS
DB00625,DB06728,0.4308,CRD,LapRLS
DB00309,DB01213,0.4307,CRD,LapRLS
DB00204,DB01213,0.4301,CRD,LapRLS
DB00175,DB06689,0.42700000000000005,CRD,LapRLS
DB00297,DB06689,0.4262,CRD,LapRLS
DB00307,DB06689,0.4261,CRD,LapRLS
DB00231,DB03128,0.4258,CRD,LapRLS
DB00301,DB06689,0.4251,CRD,LapRLS
DB00337,DB01213,0.4239,CRD,LapRLS
DB00238,DB06689,0.4235,CRD,LapRLS
DB00196,DB06689,0.4235,CRD,LapRLS
DB00751,DB06728,0.4226,CRD,LapRLS
DB00309,DB06689,0.4225,CRD,LapRLS
DB00688,DB01213,0.4213,CRD,LapRLS
DB00451,DB01213,0.4184,CRD,LapRLS
DB00715,DB01213,0.4178,CRD,LapRLS
DB00294,DB06689,0.4177,CRD,LapRLS
DB00719,DB01213,0.4174,CRD,LapRLS
DB00701,DB01213,0.41700000000000004,CRD,LapRLS
DB00745,DB03128,0.4167,CRD,LapRLS
DB00320,DB01213,0.4159,CRD,LapRLS
DB00367,DB01213,0.4153,CRD,LapRLS
DB00169,DB06728,0.413,CRD,LapRLS
DB00365,DB01213,0.4125,CRD,LapRLS
DB00726,DB01213,0.4117,CRD,LapRLS
DB00641,DB06689,0.4114,CRD,LapRLS
DB00533,DB06689,0.4091,CRD,LapRLS
DB00678,DB06689,0.4067,CRD,LapRLS
DB00648,DB01213,0.4062,CRD,LapRLS
DB00301,DB01213,0.4061,CRD,LapRLS
DB00472,DB01213,0.4059,CRD,LapRLS
DB00398,DB01213,0.4051,CRD,LapRLS
DB00313,DB03128,0.4042,CRD,LapRLS
DB00402,DB01213,0.40399999999999997,CRD,LapRLS
DB00318,DB01213,0.4038,CRD,LapRLS
DB00301,DB03756,0.4029,CRD,LapRLS
DB00717,DB01213,0.4027,CRD,LapRLS
DB00661,DB01213,0.4015,CRD,LapRLS
DB00091,DB06728,0.4015,CRD,LapRLS
DB00270,DB06728,0.401,CRD,LapRLS
DB00312,DB06689,0.4009,CRD,LapRLS
DB00539,DB06689,0.4008,CRD,LapRLS
DB00744,DB01213,0.4006,CRD,LapRLS
DB00443,DB06728,0.4005,CRD,LapRLS
DB00353,DB01213,0.3991,CRD,LapRLS
DB01100,DB04557,0.3989,CRD,LapRLS
DB00688,DB03756,0.3988,CRD,LapRLS
DB00333,DB01213,0.3984,CRD,LapRLS
DB00518,DB06728,0.39799999999999996,CRD,LapRLS
DB00365,DB06728,0.3976,CRD,LapRLS
DB00724,DB01213,0.3975,CRD,LapRLS
DB00296,DB03756,0.3972,CRD,LapRLS
DB00273,DB03756,0.3971,CRD,LapRLS
DB00499,DB03756,0.396,CRD,LapRLS
DB00289,DB06728,0.3959,CRD,LapRLS
DB00808,DB01213,0.3942,CRD,LapRLS
DB00819,DB01213,0.3927,CRD,LapRLS
DB00248,DB03756,0.3923,CRD,LapRLS
DB00136,DB03756,0.392,CRD,LapRLS
DB00334,DB06689,0.3916,CRD,LapRLS
DB00696,DB01213,0.39,CRD,LapRLS
DB00400,DB01213,0.3885,CRD,LapRLS
DB00199,DB03128,0.3871,CRD,LapRLS
DB00673,DB06728,0.3867,CRD,LapRLS
DB00472,DB06689,0.3866,CRD,LapRLS
DB00180,DB03756,0.3865,CRD,LapRLS
DB00435,DB01213,0.3863,CRD,LapRLS
DB00708,DB06689,0.3862,CRD,LapRLS
DB00390,DB06728,0.386,CRD,LapRLS
DB00635,DB03756,0.3851,CRD,LapRLS
DB00769,DB01213,0.3843,CRD,LapRLS
DB00481,DB03756,0.3842,CRD,LapRLS
DB00239,DB06689,0.3842,CRD,LapRLS
DB00273,DB03128,0.3838,CRD,LapRLS
DB00736,DB06728,0.3837,CRD,LapRLS
DB00196,DB03128,0.38299999999999995,CRD,LapRLS
DB00261,DB01213,0.3828,CRD,LapRLS
DB00813,DB01213,0.382,CRD,LapRLS
DB00268,DB06728,0.3811,CRD,LapRLS
DB00443,DB01213,0.3809,CRD,LapRLS
DB00444,DB06728,0.3809,CRD,LapRLS
DB00588,DB06689,0.3808,CRD,LapRLS
DB00263,DB06689,0.3806,CRD,LapRLS
DB00247,DB06689,0.3804,CRD,LapRLS
DB00337,DB06728,0.3803,CRD,LapRLS
DB00619,DB06689,0.3793,CRD,LapRLS
DB00502,DB01213,0.3785,CRD,LapRLS
DB00682,DB01213,0.3781,CRD,LapRLS
DB00435,DB06728,0.3778,CRD,LapRLS
DB00584,DB01213,0.3778,CRD,LapRLS
DB00136,DB06689,0.3774,CRD,LapRLS
DB00643,DB01213,0.3774,CRD,LapRLS
DB00339,DB01213,0.3766,CRD,LapRLS
DB00624,DB06728,0.3765,CRD,LapRLS
DB00435,DB03756,0.3762,CRD,LapRLS
DB00312,DB03756,0.3752,CRD,LapRLS
DB00273,DB06689,0.3748,CRD,LapRLS
DB00246,DB06689,0.3732,CRD,LapRLS
DB00758,DB03128,0.373,CRD,LapRLS
DB00239,DB03128,0.3726,CRD,LapRLS
DB00688,DB06728,0.3724,CRD,LapRLS
DB00814,DB06728,0.3715,CRD,LapRLS
DB00603,DB01213,0.3712,CRD,LapRLS
DB00783,DB06728,0.3705,CRD,LapRLS
DB00248,DB06728,0.3704,CRD,LapRLS
DB00262,DB01213,0.3696,CRD,LapRLS
